Mon Mar 14 01:39:53 2022,抗疫两年以来最困难的时期是漫长冬夜还是倒春寒 抗疫两年多全国同心协力拒病毒于国门之外维持了非常低的感染率与病死率。但是春节过后先是香港迅速进入了第五波疫情从1例病例破防到全面失控也仅仅用了1个多月。这波奥密克戎BA.2 速度很快内地和香港大多数都是这一株。 国内这波疫 ...
Mon Mar 07 17:41:31 2022,严守新一轮疫情规模性反弹底线探索更智慧的动态清零模式 北京冬奥运精彩闭幕、残奥如期举办一年一度的全国两会正常召开。由于中国虽出现多地输入病例与本土病例的增加但抗疫形势总体平稳。近期由于输入性病例显著增加今年的前2个月上海累计报告境外输入确诊病例1243例约占全国同期总数 ...
Mon Feb 21 23:32:39 2022,冬奥会圆满结束抗疫工作展现出令人惊喜的智慧 冬奥会圆满结束这次我们看到的是疫情防控与全球无障碍交流同时实现的全新可能。 今天北京冬奥会正式圆满结束闭幕式昨晚正式结束。特别是《我和你》唱响的时候好像穿越回了那年夏天确实有点恋恋不舍又有莫名的感动。与其说是我们在期 ...
Tue Feb 01 21:30:26 2022,又是一年新春佳节到比起过年前的全球性焦虑不安与不确定性似乎过了一个中国“除夕”那个叫“夕”的怪兽真的好像安静点了。国内虽然多地有散发甚至小范围的聚集性病例出来但也很快归于平静一般称之为“社会面清零”。我看到截至到晚上7点今日初一预售票房已经破14亿超过了疫情前的2019 ...
Thu Jan 13 10:32:16 2022,近期国际上处于新冠肆虐的极高风险期。输入性疫情的压力巨大。1月11日上海一例境外输入性无症状感染者在隔离期满后的7天健康监测期间第7天核酸检测结果异常引发一轮。其实这样的入境人员监测期出现状况按照常规处理就是不必要过度解读。只是提醒相关人员今后一定要认真履行这个健康监测期 ...
Sat Jan 01 10:11:17 2022,“常怀远虑、居安思危保持战略定力和耐心。” 2022年一定是虽艰难但定能不断走向胜利的一年
Tue Dec 21 13:10:41 2021,刚看完上午的门诊走出诊室看到阳光很好。今天是冬至冬至这天太阳绕行到南回归线北半球黑夜最长是一个寒冷的节气。但是“冬至阳气起君道长故贺”因此也是一个值得庆贺的日子。即便是最寒冷的日子也要心怀希望祝大家冬至平安快乐。
Fri Dec 17 00:23:00 2021,国际奥密克戎疫情扑朔迷离中国有条不紊应对 当前是全球性最为艰难的时刻是人类与病毒对抗相持最为困难的时候。世卫组织专家组会议共识提出“当前还需要依赖广泛实施公共卫生限制措施同时完成疫苗的加强接种特别是未接种疫苗者需要一起加入到疫苗接种行列才能应付奥密克戎变异株的广泛 ...
Sun Nov 28 12:02:43 2021,上海疫情进入尾声全网目光聚焦奥密克戎 上海疫情进入扫尾阶段。新冠新变异株奥密克戎登陆世界迅速占领了所有学术论坛和百姓的饭堂。几点看法供大家参考 1. 奥密克戎变种被发现是近期的突发性事件毫无疑问是病毒进化的产物。由于突变点数量远超已经发现的所有变种预计应该是在宿主体内经 ...
Thu May 28 23:07:12 2020,最近逐渐恢复常态化工作。查房、会诊、研究生答辩。今天特地和合作伙伴复旦大学管理学院胡建强教授 团队进行了一次新发传染病预测和防控模型讨论特别是防控对于社会各方面的影响进行了深入讨论和模型测算方法的演练。胡教授团队都是来自于数学王国胡教授本人毕业于复旦又在 ...
